-- January 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('05-29-2025', '05-2025', 248),
('05-30-2025', '05-2025', 205),
('05-31-2025', '05-2025', 204);

-- June 2025 (30 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('06-01-2025', '06-2025', 190),
('06-02-2025', '06-2025', 170),
('06-03-2025', '06-2025', 205),
('06-04-2025', '06-2025', 155),
('06-05-2025', '06-2025', 280),
('06-06-2025', '06-2025', 250),
('06-07-2025', '06-2025', 225),
('06-08-2025', '06-2025', 210),
('06-09-2025', '06-2025', 195),
('06-10-2025', '06-2025', 175),
('06-11-2025', '06-2025', 160),
('06-12-2025', '06-2025', 172),
('06-13-2025', '06-2025', 185),
('06-14-2025', '06-2025', 195),
('06-15-2025', '06-2025', 205),
('06-16-2025', '06-2025', 215),
('06-17-2025', '06-2025', 225),
('06-18-2025', '06-2025', 235),
('06-19-2025', '06-2025', 245),
('06-20-2025', '06-2025', 255),
('06-21-2025', '06-2025', 265),
('06-22-2025', '06-2025', 275),
('06-23-2025', '06-2025', 285),
('06-24-2025', '06-2025', 295),
('06-25-2025', '06-2025', 305),
('06-26-2025', '06-2025', 315),
('06-27-2025', '06-2025', 325),
('06-28-2025', '06-2025', 335),
('06-29-2025', '06-2025', 345),
('06-30-2025', '06-2025', 355);

-- July 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('07-01-2025', '07-2025', 195),
('07-02-2025', '07-2025', 175),
('07-03-2025', '07-2025', 210),
('07-04-2025', '07-2025', 160),
('07-05-2025', '07-2025', 285),
('07-06-2025', '07-2025', 255),
('07-07-2025', '07-2025', 230),
('07-08-2025', '07-2025', 215),
('07-09-2025', '07-2025', 200),
('07-10-2025', '07-2025', 180),
('07-11-2025', '07-2025', 165),
('07-12-2025', '07-2025', 177),
('07-13-2025', '07-2025', 190),
('07-14-2025', '07-2025', 200),
('07-15-2025', '07-2025', 210),
('07-16-2025', '07-2025', 220),
('07-17-2025', '07-2025', 230),
('07-18-2025', '07-2025', 240),
('07-19-2025', '07-2025', 250),
('07-20-2025', '07-2025', 260),
('07-21-2025', '07-2025', 270),
('07-22-2025', '07-2025', 280),
('07-23-2025', '07-2025', 290),
('07-24-2025', '07-2025', 300),
('07-25-2025', '07-2025', 310),
('07-26-2025', '07-2025', 320),
('07-27-2025', '07-2025', 330),
('07-28-2025', '07-2025', 340),
('07-29-2025', '07-2025', 350),
('07-30-2025', '07-2025', 360),
('07-31-2025', '07-2025', 370);

-- August 2025 (31 days)
INSERT INTO carbon_emissions (date, month, noOfVehicles) VALUES
('08-01-2025', '08-2025', 200),
('08-02-2025', '08-2025', 180),
('08-03-2025', '08-2025', 215),
('08-04-2025', '08-2025', 165),
('08-05-2025', '08-2025', 290),
('08-06-2025', '08-2025', 260),
('08-07-2025', '08-2025', 235),
('08-08-2025', '08-2025', 220),
('08-09-2025', '08-2025', 205),
('08-10-2025', '08-2025', 185),
('08-11-2025', '08-2025', 170),
('08-12-2025', '08-2025', 182),
('08-13-2025', '08-2025', 195),
('08-14-2025', '08-2025', 205),
('08-15-2025', '08-2025', 215),
('08-16-2025', '08-2025', 225),
('08-17-2025', '08-2025', 235),
('08-18-2025', '08-2025', 245),
('08-19-2025', '08-2025', 255),
('08-20-2025', '08-2025', 265),
('08-21-2025', '08-2025', 275),
('08-22-2025', '08-2025', 285),
('08-23-2025', '08-2025', 295),
('08-24-2025', '08-2025', 305),
('08-25-2025', '08-2025', 315),
('08-26-2025', '08-2025', 325),
('08-27-2025', '08-2025', 335),
('08-28-2025', '08-2025', 345),
('08-29-2025', '08-2025', 355),
('08-30-2025', '08-2025', 365),
('08-31-2025', '08-2025', 375);
